ticker,name,market,country,sector,price,currency,high_52w,discount_52w,market_cap_mln,volume_k,smi,smi_ema,zone,signal,eps_ttm,sales_ttm_mln,quick_ratio,scanned_at
TRP,TC Energy Corporation,USA,Canada,Energy,68.24,USD,68.3,0.1,71090.2,2564.9,56.26,47.74,OVERBOUGHT,BUY,2.47,15239.0,0.56,2026-05-17T11:42:36.355367
BVN,Buenaventura Mining Company Inc,USA,Peru,Basic Materials,34.29,USD,44.67,23.2,8709.2,1595.9,-24.17,-27.94,Bearish,BUY,3.3,1731.6,1.88,2026-05-17T11:42:36.624433
NE,Noble Corporation plc A,USA,United States,Energy,52.9,USD,54.57,3.1,8440.0,1746.9,47.56,49.88,OVERBOUGHT,Turning Up,1.43,3285.6,1.67,2026-05-17T11:42:36.711012
EPD,Enterprise Products Partners L.,USA,United States,Energy,39.23,USD,39.74,1.3,84874.8,4481.4,29.05,27.58,Bullish,BUY,2.7,52596.0,0.74,2026-05-17T11:42:36.827002
SDRL,Seadrill Limited,USA,United States,Energy,52.7,USD,52.87,0.3,3295.4,763.0,74.73,70.41,OVERBOUGHT,BUY,-1.12,1437.0,2.03,2026-05-17T11:42:37.324997
JHG,Janus Henderson Group plc,USA,United Kingdom,Financial Services,51.72,USD,53.76,3.8,7968.8,3195.4,19.86,18.17,Bullish,BUY,5.05,3097.3,4.18,2026-05-17T11:42:37.557657
OKE,"ONEOK, Inc.",USA,United States,Energy,92.32,USD,95.3,3.1,58164.6,4938.3,15.32,13.72,Bullish,BUY,5.61,33629.0,0.56,2026-05-17T11:42:37.610496
VG,"Venture Global, Inc.",USA,United States,Energy,14.23,USD,19.5,27.0,35352.4,26828.5,-21.54,-13.96,Bearish,Turning Up,0.96,13769.0,0.87,2026-05-17T11:42:37.730183
HSY,The Hershey Company,USA,United States,Consumer Defensive,186.98,USD,239.48,21.9,37927.7,1907.4,-74.88,-69.34,OVERSOLD,Turning Up,5.37,11692.6,0.72,2026-05-17T11:42:37.877405
STUB,"StubHub Holdings, Inc.",USA,United States,Communication Services,8.82,USD,27.89,68.4,3297.3,4627.4,-22.35,-41.3,Bearish,Strong BUY,-6.27,1745.2,1.03,2026-05-17T11:42:38.271842
SD,"SandRidge Energy, Inc.",USA,United States,Energy,15.27,USD,18.45,17.2,563.7,404.0,-48.02,-44.5,OVERSOLD,Turning Up,2.05,156.4,2.17,2026-05-17T11:42:38.668904
AG,First Majestic Silver Corp.,USA,Canada,Basic Materials,20.42,USD,32.04,36.3,10082.8,18542.2,-53.86,-53.97,OVERSOLD,Strong BUY,0.59,1265.2,2.41,2026-05-17T11:42:38.817707
VAL,Valaris Limited,USA,Bermuda,Energy,105.43,USD,105.52,0.1,7301.2,1123.6,40.17,38.58,OVERBOUGHT,BUY,14.15,2369.0,1.77,2026-05-17T11:42:38.858078
SUN,Sunoco LP,USA,United States,Energy,71.16,USD,71.67,0.7,13407.4,539.2,59.99,57.4,OVERBOUGHT,BUY,3.92,25201.0,0.78,2026-05-17T11:42:39.097780
BLND,"Blend Labs, Inc.",USA,United States,Technology,1.45,USD,4.49,67.7,351.1,4018.6,-58.46,-61.19,OVERSOLD,Strong BUY,-0.07,123.6,2.48,2026-05-17T11:42:39.208018
TKO,"TKO Group Holdings, Inc.",USA,United States,Communication Services,190.07,USD,226.94,16.2,14249.1,1378.5,-63.04,-62.98,OVERSOLD,Turning Up,2.7,4735.2,1.23,2026-05-17T11:42:39.307419
PWR,"Quanta Services, Inc.",USA,United States,Industrials,769.99,USD,788.75,2.4,115544.8,1141.6,81.71,81.55,OVERBOUGHT,BUY,7.31,28479.7,1.09,2026-05-17T11:42:39.345214
NVAX,"Novavax, Inc.",USA,United States,Healthcare,9.06,USD,11.97,24.3,1489.8,4650.5,-30.51,-39.85,Bearish,Strong BUY,-0.56,1123.5,2.1,2026-05-17T11:42:39.724843
SID,Companhia Siderurgica Nacional ,USA,Brazil,Basic Materials,1.26,USD,2.2,42.7,1675.5,5029.9,-34.33,-42.82,Bearish,Strong BUY,-0.27,44797.9,0.71,2026-05-17T11:42:39.831483
IRDM,Iridium Communications Inc,USA,United States,Communication Services,41.62,USD,44.61,6.7,4400.4,2264.2,68.08,68.76,OVERBOUGHT,Turning Up,0.99,871.7,1.82,2026-05-17T11:42:40.038732
GLOB,Globant S.A.,USA,Luxembourg,Technology,38.91,USD,107.12,63.7,1680.1,1571.0,-61.54,-62.87,OVERSOLD,Strong BUY,2.29,2454.9,1.64,2026-05-17T11:42:40.044119
PGR,Progressive Corporation (The),USA,United States,Financial Services,199.73,USD,289.96,31.1,116709.5,2863.7,-42.54,-42.7,OVERSOLD,Strong BUY,19.65,87637.0,,2026-05-17T11:42:40.464136
BIOA,"BioAge Labs, Inc.",USA,United States,Healthcare,17.66,USD,24.0,26.4,785.0,487.1,-41.29,-42.18,OVERSOLD,Strong BUY,-2.4,9.0,14.24,2026-05-17T11:42:40.572792
MICC,The Magnum Ice Cream Company N.,USA,Netherlands,Consumer Defensive,16.66,USD,19.93,16.4,10209.9,1624.2,-6.61,-34.2,Bearish,Strong BUY,0.56,7910.0,,2026-05-17T11:42:40.704906
MAMA,"Mama's Creations, Inc.",USA,United States,Consumer Defensive,14.45,USD,17.85,19.0,587.5,421.7,-54.64,-52.55,OVERSOLD,Turning Up,0.13,171.7,,2026-05-17T11:42:40.740436
UGI,UGI,USA,--,--,33.99,USD,41.34,17.8,7287.2,1721.2,-45.68,-40.59,OVERSOLD,Turning Up,,,,2026-05-17T11:42:40.772470
MMSI,MMSI,USA,--,--,61.36,USD,100.05,38.7,3660.4,826.6,-80.03,-79.17,OVERSOLD,Turning Up,,,,2026-05-17T11:42:40.818698
